query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag
q_ani0.8500	ref	78.5699	79.9787	0.9774	0.9772	0.22579	4	0.7511	171	12.414	0.1078	79.6972	82.1478	5.9767	104.49	AloI:85.20,BslFI:79.23	688	4	5304	192	130	BELOW_DETECTION
q_ani0.8800	ref	81.4955	83.5815	0.9956	0.9957	0.18248	3	0.7332	310	6.507	0.1920	83.1426	86.5715	6.0418	180.44	AloI:88.76,BslFI:82.72	1163	3	5067	514	285	BELOW_DETECTION
q_ani0.9000	ref	84.3776	85.9254	0.9926	0.9927	0.16202	3	0.8018	283	6.138	0.2698	85.4135	88.7856	4.3835	108.73	AloI:89.72,BslFI:85.33	1429	3	4802	642	382.6666666666667	INCONSISTENT
q_ani0.9200	ref	87.8584	88.8270	0.9969	0.9969	0.14003	4	0.7109	625	5.962	0.3913	88.2890	90.7023	3.8026	123.52	AloI:92.03,BslFI:88.22	2163	4	4430	892	385.25	INCONSISTENT
q_ani0.9400	ref	90.1199	91.2371	0.9959	0.9956	0.12300	7	0.7332	686	3.707	0.5136	90.4498	93.0496	3.1093	113.56	AloI:93.82,BslFI:90.71	2572	7	4166	1065	270.2857142857143	INCONSISTENT
q_ani0.9500	ref	91.6703	92.6275	0.9958	0.9958	0.11283	9	0.7226	796	3.258	0.5916	91.8149	94.0073	3.0429	139.96	AloI:95.13,BslFI:92.09	2870	9	3967	1183	231.33333333333334	INCONSISTENT
q_ani0.9600	ref	93.2059	94.1073	0.9970	0.9970	0.09870	7	0.7467	801	2.444	0.6763	93.2595	95.1400	2.4921	128.36	AloI:96.13,BslFI:93.64	3163	7	3929	1349	338.2857142857143	INCONSISTENT
q_ani0.9700	ref	95.0903	95.7666	0.9962	0.9962	0.08297	7	0.7373	913	1.911	0.7715	94.9495	96.4299	1.6473	79.15	AloI:97.10,BslFI:95.45	3476	7	3704	1466	367	INCONSISTENT
q_ani0.9800	ref	96.8763	97.2303	0.9955	0.9936	0.06607	12	0.7525	899	1.781	0.8529	96.5176	97.6263	0.7089	21.58	AloI:97.80,BslFI:97.09	3633	12	3500	1184	228.75	INCONSISTENT
q_ani0.9900	ref	98.1864	98.5590	0.9949	0.9950	0.04671	14	0.7678	870	0.571	0.9243	97.8667	98.8375	0.5692	31.17	AloI:99.01,BslFI:98.44	3747	14	3357	861	206.42857142857142	ok
q_ani0.9950	ref	99.2901	99.3476	0.9949	0.9950	0.03104	12	0.7806	829	0.689	0.9657	99.0424	99.4520	0.3724	34.80	AloI:99.65,BslFI:99.27	3779	12	3220	900	246.75	ok
q_ani0.9990	ref	99.8463	99.8463	0.9949	0.9949	0.01492	14	0.7772	867	inf	0.9918	99.7977	99.8620	0.0306	0.77	AloI:99.87,BslFI:99.84	3893	14	3167	910	217.07142857142858	ok
